,date,text,hashtags
14707,Sun Mar 18 13:11:13 +0000 2018,"Pour discréditer Poutine, les médias subventionnés soulignent qu'il y a 20M de pauvres en Russie. Ils se gardent bien de rappeler qu'il y a aussi 146M d'habitants, ce qui fait que le taux de pauvreté est + faible que la moyenne européenne... #Depardieu",
14708,Sun Mar 18 18:07:33 +0000 2018,"Macron! est ce que tu entends la colère de la rue ?

#FranceReveilleToi #TousDansLarue
#FranceEnColere
#grevesncf #Greve22mars #greve #SNCF #cheminots #Retraite #LREM #Macron #RATP #Traffic #france #FranceInsoumise 
#GrevesNationales #LeSaviezVous https://t.co/HB2qyEA7oz","['FranceReveilleToi', 'TousDansLarue', 'FranceEnColere', 'grevesncf']"
14710,Sun Mar 18 18:07:32 +0000 2018,"Brillante plaidoirie de Maître @BertrandPerier au procès d’Anna Karenine, mettant les cocus de son côté: « Ressuscitons Anna Karenine. Sa pire peine: voir la situation en Russie aujourd’hui. » @Salondulivre #livreparis2018 https://t.co/Movhht1PjF",
14711,Sun Mar 18 09:14:17 +0000 2018,"Les russes font de la propagande sur @RTenfrancais. Heureusement que nos médias sont libres et indépendants 
https://t.co/crGlzbOndO",
14717,Sun Mar 18 18:07:32 +0000 2018,"""Oui, nous tiendrons"" : face à la grève de la SNCF, Bruno Le Maire la joue droit dans ses… https://t.co/XVWFy26Noo",
14718,Sun Mar 18 18:07:31 +0000 2018,Des déboires d’une Emma Bovary russe aux espoirs de la jeunesse https://t.co/39eLJ94ACP,
14719,Sun Mar 18 16:14:05 +0000 2018,Les mensonges sur France Télécom éclairent ceux sur la SNCF via @Mediapart https://t.co/o0SJlhsknE,
14725,Sun Mar 18 18:07:30 +0000 2018,Et mercé LONGUE VIE A VLADIMIR https://t.co/kmXBvtGVNH,
14727,Sun Mar 18 18:07:29 +0000 2018,@SoMabrouk @Europe1 Le reportage #uncontinentderrierepoutine d'@AnneNivat était éclairant autrement sur le rapport des Russe avec #Poutine,"['uncontinentderrierepoutine', 'Poutine']"
14728,Sun Mar 18 18:07:28 +0000 2018,Tonton Vlad ❤️ l’exemple d’un certain .. bref ‍♀️ https://t.co/RbpIo5eXaM,
14731,Sun Mar 18 18:07:28 +0000 2018,"Pendant ce temps, Vladimir Poutine est réélu à 73,4 pour un 4ème mandat.
Il est le patron incontestable de la Russie depuis 2000 #kebetu",['kebetu']
14733,Sun Mar 18 18:07:27 +0000 2018,"#ouigo #Bordeaux destination #Paris bloqué en gare, panne d'électricité sur ligne à grande vitesse... #ouisncf #sncf","['ouigo', 'Bordeaux', 'Paris', 'ouisncf', 'sncf']"
14734,Sun Mar 18 18:07:27 +0000 2018,Le Gouvernement est à réformé effectivement https://t.co/4EknHsfxu2,
14739,Sun Mar 18 18:07:25 +0000 2018,"Ça ose critiquer #Poutine? Ds une démocratie, quand le président souffre de la folie des grandeurs, le 4ème pouvoir, frappe fort pour ramener le fou à la réalité! En  , où la dictature est en marche, les journalistes sont les petits soldats de #Macron! https://t.co/bCdbo9NxJs",['Poutine']
14743,Sun Mar 18 18:07:55 +0000 2018,A quoi ressemble la Russie sous Vladimir Poutine ? Par @saradaniel_obs https://t.co/AcZeNqW030 https://t.co/sv5ImYk2bt,
14748,Sun Mar 18 18:07:54 +0000 2018,Je veux trop partir en Russie cet été mais mes parents veulent pas :/,
